t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,T,wx_cmd,wy_cmd,wz_cmd,solve_ms,t_progress,px_ref,py_ref,pz_ref,qw_ref,qx_ref,qy_ref,qz_ref
0.19,2.72588,0.103315,1.78303,3.43299,1.55153,2.50445,0.835231,-0.0694262,0.502045,0.213355,0.683526,-3.0837,0.397236,24.9316,0.630785,-6.27267,0.373507,0.264398,0.19,3.25708,0.374174,1.83027,0.969775,0.0513167,-0.0437134,0.234503
0.2,2.76117,0.119216,1.80817,3.62376,1.62803,2.52522,0.843846,-0.0618065,0.487948,0.214501,0.668577,-3.98757,0.39051,22.0643,0.58933,-6.65352,0.35101,0.281544,0.2,3.29659,0.393208,1.84633,0.969556,0.0545207,-0.0464638,0.234159
0.21,2.79824,0.135819,1.83349,3.78955,1.69194,2.53929,0.85413,-0.0533781,0.470144,0.215821,0.646116,-4.74319,0.379314,19.2649,0.546594,-6.88136,0.324482,1.69253,0.21,3.33605,0.412142,1.8622,0.969331,0.0577734,-0.0492535,0.233739
0.22,2.83684,0.153002,1.85891,3.93074,1.7439,2.54616,0.86552,-0.0443297,0.449149,0.2172,0.617908,-5.34923,0.363773,16.5686,0.509531,-6.96831,0.29478,0.322892,0.22,3.37546,0.43097,1.87786,0.969101,0.061074,-0.0520809,0.23324
0.23,2.87674,0.170649,1.88436,4.04835,1.78487,2.54493,0.877482,-0.0348432,0.425508,0.218529,0.58719,-5.80813,0.344218,13.3524,0.484615,-6.91277,0.263662,0.257647,0.23,3.41482,0.449688,1.89329,0.968866,0.0644213,-0.0549439,0.232659
0.24,2.91768,0.188649,1.90973,4.13943,1.81461,2.53041,0.88953,-0.0250862,0.399794,0.21971,0.558117,-6.12123,0.321385,10.6994,0.489838,-6.63014,0.236546,0.262995,0.24,3.45411,0.46829,1.90851,0.968625,0.0678142,-0.0578402,0.231994
0.25,2.95943,0.206903,1.9349,4.20902,1.83563,2.50369,0.901214,-0.0152132,0.372682,0.220657,0.538764,-6.26547,0.297339,8.50068,0.498086,-6.32079,0.205488,0.276037,0.25,3.49335,0.486773,1.92348,0.968379,0.0712513,-0.0607674,0.231241
0.26,3.00178,0.225333,1.95974,4.26132,1.84997,2.46568,0.912183,-0.00535632,0.344841,0.221309,0.527234,-6.28115,0.271305,6.65795,0.508701,-5.99713,0.172831,0.262768,0.26,3.53252,0.505131,1.93821,0.968128,0.0747309,-0.0637227,0.230398
0.27,3.04459,0.243881,1.98416,4.29979,1.85932,2.4171,0.922221,0.00438303,0.316809,0.221633,0.521981,-6.20065,0.243394,5.16851,0.521439,-5.67135,0.138451,0.262198,0.27,3.57162,0.52336,1.95269,0.967871,0.0782514,-0.0667032,0.229461
0.28,3.08773,0.262504,2.00804,4.32763,1.86509,2.35918,0.931216,0.0139309,0.289011,0.221618,0.521827,-6.05063,0.213649,3.98721,0.534413,-5.34775,0.10152,0.2635,0.28,3.61066,0.541455,1.96691,0.96761,0.0818107,-0.0697056,0.228428
0.29,3.13111,0.281173,2.0313,4.34749,1.8684,2.29326,0.939137,0.023235,0.261771,0.221265,0.525395,-5.85141,0.181868,2.97713,0.547234,-5.02879,0.0632432,0.281719,0.29,3.64962,0.559411,1.98086,0.967343,0.0854069,-0.0727265,0.227296
0.3,3.17465,0.299866,2.05386,4.36112,1.87003,2.21997,0.946001,0.0322594,0.235334,0.220587,0.531585,-5.61825,0.148245,2.12976,0.562246,-4.71582,0.0253622,0.261943,0.3,3.68851,0.577224,1.99454,0.967072,0.0890376,-0.0757622,0.226062
0.31,3.21831,0.318569,2.07566,4.37002,1.8706,2.14008,0.951863,0.0409834,0.209883,0.219603,0.540275,-5.36247,0.113416,1.49599,0.577936,-4.41527,-0.0133619,0.262657,0.31,3.72733,0.594889,2.00793,0.966796,0.0927003,-0.0788086,0.224723
0.32,3.26204,0.337276,2.09664,4.37567,1.87061,2.05506,0.956798,0.0493987,0.185547,0.218335,0.55095,-5.094,0.0774824,0.994694,0.592001,-4.13164,-0.0533808,0.261806,0.32,3.76606,0.612402,2.02102,0.966517,0.0963924,-0.0818616,0.223277
0.33,3.30581,0.355981,2.11674,4.37905,1.87035,1.9658,0.960892,0.057506,0.162405,0.216806,0.562585,-4.82123,0.0403911,0.535383,0.606496,-3.86059,-0.0932269,0.304233,0.33,3.80472,0.629758,2.03382,0.966234,0.100111,-0.0849167,0.22172
0.34,3.34961,0.374683,2.13593,4.38067,1.87008,1.87253,0.964237,0.0653116,0.140501,0.215037,0.575031,-4.54895,0.00251889,0.241509,0.622925,-3.60006,-0.132624,0.279754,0.34,3.84329,0.646953,2.04631,0.965947,0.103853,-0.0879694,0.22005
0.35,3.39342,0.393383,2.15418,4.38132,1.8699,1.77663,0.966923,0.0728284,0.119854,0.213052,0.588606,-4.28,-0.0357855,0.0578714,0.636777,-3.36352,-0.172858,0.295731,0.35,3.88178,0.663983,2.05848,0.965658,0.107615,-0.0910147,0.218264
0.36,3.43723,0.412082,2.17146,4.38145,1.86985,1.67906,0.969037,0.0800727,0.100455,0.210868,0.602259,-4.02024,-0.0746369,2.78976e-11,0.650519,-3.15068,-0.213159,0.288685,0.36,3.92018,0.680842,2.07033,0.965368,0.111395,-0.0940476,0.216359
0.37,3.48105,0.43078,2.18776,4.38145,1.86985,1.58096,0.970659,0.0870641,0.0822697,0.208502,0.615938,-3.77377,-0.113899,4.70567e-14,0.663666,-2.94981,-0.253306,0.287591,0.37,3.95848,0.697527,2.08186,0.965076,0.115188,-0.0970629,0.214334
0.38,3.52486,0.449479,2.20308,4.38145,1.86985,1.48286,0.971863,0.0938237,0.0652484,0.205968,0.629466,-3.54023,-0.153412,7.78122e-13,0.674115,-2.76856,-0.293224,0.277734,0.38,3.9967,0.714034,2.09305,0.964784,0.11899,-0.100055,0.212186
0.39,3.56868,0.468177,2.21742,4.38145,1.86985,1.38476,0.972713,0.100371,0.0493346,0.203276,0.642121,-3.32151,-0.19304,5.58866e-06,0.682198,-2.60463,-0.332844,0.278113,0.39,4.03481,0.730358,2.10389,0.964492,0.122799,-0.103019,0.209912
0.4,3.61249,0.486876,2.23077,4.38145,1.86985,1.28666,0.973267,0.106724,0.0344624,0.200436,0.65348,-3.11832,-0.232666,0.170879,0.689346,-2.46286,-0.372167,0.264227,0.4,4.07283,0.746494,2.11439,0.964201,0.126609,-0.105949,0.20751
0.41,3.65631,0.505572,2.24316,4.38161,1.86952,1.19015,0.973572,0.112901,0.0205573,0.197454,0.663646,-2.93254,-0.272205,0.428542,0.693466,-2.33959,-0.411221,0.263056,0.41,4.11075,0.76244,2.12454,0.963913,0.130418,-0.108839,0.204979
0.42,3.70012,0.524263,2.25459,4.38191,1.86862,1.09602,0.973672,0.118919,0.00753758,0.194333,0.672098,-2.76448,-0.311607,0.72656,0.69488,-2.23145,-0.449879,0.245634,0.42,4.14857,0.77819,2.13432,0.963628,0.13422,-0.111683,0.202317
