t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,T,wx_cmd,wy_cmd,wz_cmd,solve_ms,t_progress,px_ref,py_ref,pz_ref,qw_ref,qx_ref,qy_ref,qz_ref
14.79,-0.847304,-1.23807,0.910298,2.96632,0.202769,-1.04641,0.988545,-0.111721,0.084612,0.056019,0.113817,-0.21329,0.661521,14.4606,0.11408,-0.20592,0.627978,0.213666,14.79,-0.850601,-1.2435,0.895004,0.988206,-0.111051,0.0853622,0.0618836
14.8,-0.817534,-1.23588,0.900005,2.9875,0.234405,-1.01216,0.988508,-0.110821,0.0839613,0.0593339,0.113892,-0.211201,0.652014,14.5149,0.114223,-0.204129,0.619086,0.215036,14.8,-0.820804,-1.2413,0.884541,0.988158,-0.11017,0.0846713,0.0650931
14.81,-0.787554,-1.23338,0.890057,3.0085,0.265979,-0.977324,0.988462,-0.109923,0.0833145,0.0626004,0.113985,-0.209197,0.642681,14.567,0.11439,-0.202421,0.610355,0.214532,14.81,-0.790794,-1.23879,0.874433,0.988101,-0.109291,0.0839845,0.0682563
14.82,-0.757365,-1.23056,0.880461,3.02931,0.297482,-0.941927,0.988406,-0.109028,0.0826714,0.0658194,0.1141,-0.207276,0.633518,14.617,0.114583,-0.200794,0.601781,0.212868,14.82,-0.760574,-1.23595,0.864684,0.988035,-0.108413,0.0833018,0.071374
14.83,-0.726968,-1.22743,0.871221,3.04993,0.328907,-0.905988,0.988341,-0.108135,0.0820317,0.0689916,0.114237,-0.205439,0.624523,14.6648,0.114803,-0.199249,0.593363,0.213292,14.83,-0.730145,-1.23281,0.855302,0.987961,-0.107537,0.0826228,0.074447
14.84,-0.696367,-1.22398,0.862343,3.07037,0.360246,-0.869528,0.988267,-0.107245,0.0813952,0.0721181,0.114397,-0.203684,0.615691,14.7103,0.115051,-0.197785,0.585096,0.216144,14.84,-0.69951,-1.22934,0.846291,0.987879,-0.106662,0.0819473,0.0774762
14.85,-0.665562,-1.22022,0.853833,3.09062,0.391493,-0.832568,0.988186,-0.106357,0.0807616,0.0751996,0.114583,-0.202012,0.607019,14.7535,0.115328,-0.196402,0.576977,0.215945,14.85,-0.668669,-1.22556,0.837657,0.98779,-0.105789,0.0812751,0.0804624
14.86,-0.634555,-1.21615,0.845694,3.11067,0.422638,-0.79513,0.988096,-0.10547,0.0801308,0.0782368,0.114794,-0.200422,0.598504,14.7945,0.115637,-0.1951,0.569002,0.21639,14.86,-0.637626,-1.22147,0.829404,0.987694,-0.104916,0.080606,0.0834064
14.87,-0.603349,-1.21177,0.837932,3.13053,0.453674,-0.757234,0.987999,-0.104586,0.0795024,0.0812308,0.115033,-0.198914,0.590142,14.8331,0.115976,-0.193879,0.561169,0.213385,14.87,-0.606382,-1.21707,0.821537,0.987591,-0.104044,0.0799399,0.0863089
14.88,-0.571945,-1.20708,0.830552,3.1502,0.484595,-0.718902,0.987896,-0.103703,0.0788762,0.0841821,0.1153,-0.197487,0.58193,14.8693,0.116349,-0.192738,0.553475,0.212482,14.88,-0.574939,-1.21235,0.814061,0.987481,-0.103173,0.0792764,0.0891708
14.89,-0.540345,-1.20208,0.823556,3.16968,0.515391,-0.680158,0.987785,-0.102822,0.078252,0.0870915,0.115598,-0.196141,0.573865,14.9032,0.116756,-0.191679,0.545915,0.214417,14.89,-0.5433,-1.20732,0.80698,0.987366,-0.102302,0.0786153,0.0919927
14.9,-0.508552,-1.19677,0.81695,3.18896,0.546056,-0.641022,0.987668,-0.101941,0.0776295,0.0899599,0.115926,-0.194876,0.565943,14.9347,0.117199,-0.1907,0.538488,0.213803,14.9,-0.511466,-1.20199,0.800299,0.987245,-0.101431,0.0779564,0.0947754
14.91,-0.476566,-1.19116,0.810738,3.20805,0.576582,-0.601518,0.987546,-0.101062,0.0770085,0.092788,0.116287,-0.193692,0.558161,14.9638,0.117677,-0.189802,0.531189,0.212319,14.91,-0.479439,-1.19635,0.79402,0.987118,-0.100561,0.0772995,0.0975196
14.92,-0.444391,-1.18524,0.804922,3.22693,0.606962,-0.561668,0.987417,-0.100183,0.0763886,0.0955764,0.116681,-0.19259,0.550516,14.9904,0.118193,-0.188985,0.524017,0.21287,14.92,-0.447221,-1.1904,0.788148,0.986987,-0.0996897,0.0766444,0.100226
14.93,-0.412028,-1.17902,0.799506,3.24562,0.637188,-0.521496,0.987284,-0.0993053,0.0757698,0.0983259,0.11711,-0.191568,0.543006,15.0146,0.118748,-0.18825,0.516968,0.212251,14.93,-0.414815,-1.18414,0.782686,0.98685,-0.0988184,0.0759907,0.102895
14.94,-0.37948,-1.1725,0.794493,3.26411,0.667253,-0.481024,0.987145,-0.0984274,0.0751516,0.101037,0.117574,-0.190628,0.535625,15.0363,0.119343,-0.187597,0.510038,0.214229,14.94,-0.382222,-1.17758,0.777637,0.986709,-0.0979465,0.0753383,0.105528
14.95,-0.346747,-1.16567,0.789887,3.28239,0.697149,-0.440275,0.987002,-0.0975494,0.0745339,0.103711,0.118075,-0.189769,0.528373,15.0555,0.119978,-0.187027,0.503226,0.213517,14.95,-0.349444,-1.17073,0.773004,0.986564,-0.0970737,0.074687,0.108125
14.96,-0.313832,-1.15855,0.785689,3.30047,0.726869,-0.399274,0.986854,-0.0966712,0.0739164,0.106348,0.118615,-0.188992,0.521246,15.0722,0.120656,-0.186539,0.496529,0.212464,14.96,-0.316485,-1.16357,0.76879,0.986414,-0.0961998,0.0740364,0.110686
14.97,-0.280738,-1.15114,0.781902,3.31835,0.756406,-0.358043,0.986702,-0.0957925,0.0732988,0.108948,0.119193,-0.188296,0.51424,15.0864,0.121376,-0.186136,0.489942,0.212344,14.97,-0.283345,-1.15611,0.764997,0.986261,-0.0953246,0.0733863,0.113214
14.98,-0.247466,-1.14343,0.778529,3.33603,0.785752,-0.316607,0.986546,-0.0949129,0.0726808,0.111513,0.119812,-0.187684,0.507353,15.098,0.122141,-0.185816,0.483465,0.212818,14.98,-0.250027,-1.14836,0.761628,0.986104,-0.0944478,0.0727365,0.115707
14.99,-0.214018,-1.13542,0.775571,3.35349,0.8149,-0.274989,0.986387,-0.0940323,0.0720622,0.114043,0.120472,-0.187155,0.500582,15.1072,0.122951,-0.185582,0.477093,0.243309,14.99,-0.216533,-1.14031,0.758683,0.985944,-0.0935692,0.0720867,0.118166
15,-0.180397,-1.12713,0.77303,3.37075,0.843844,-0.233214,0.986224,-0.0931503,0.0714427,0.116538,0.121175,-0.186709,0.493925,15.1137,0.123807,-0.185433,0.470824,0.248,15,-0.182865,-1.13197,0.756166,0.98578,-0.0926885,0.0714367,0.120593
15.01,-0.146604,-1.11855,0.770907,3.3878,0.872574,-0.191304,0.986058,-0.0922666,0.070822,0.119,0.121921,-0.186347,0.487377,15.1177,0.12471,-0.185372,0.464656,0.212379,15.01,-0.149025,-1.12334,0.754077,0.985614,-0.0918055,0.0707861,0.122988
15.02,-0.112642,-1.10968,0.769204,3.40464,0.901086,-0.149285,0.985889,-0.0913809,0.0701997,0.121428,0.122711,-0.186071,0.480937,15.1192,0.125663,-0.185398,0.458586,0.21292,15.02,-0.115016,-1.11443,0.752418,0.985445,-0.0909199,0.0701348,0.125351
15.03,-0.0785118,-1.10053,0.767922,3.42127,0.92937,-0.107181,0.985717,-0.090493,0.0695758,0.123824,0.123548,-0.18588,0.474602,15.1181,0.126665,-0.185513,0.45261,0.212586,15.03,-0.0808392,-1.10523,0.751189,0.985273,-0.0900314,0.0694824,0.127683
15.04,-0.0442168,-1.09109,0.767061,3.43769,0.957422,-0.0650158,0.985543,-0.0896024,0.0689497,0.126187,0.124431,-0.185776,0.468369,15.1144,0.127718,-0.185718,0.446727,0.216138,15.04,-0.0464975,-1.09574,0.750392,0.985099,-0.0891398,0.0688286,0.129984
15.05,-0.00975872,-1.08138,0.766621,3.45389,0.985232,-0.0228135,0.985366,-0.088709,0.0683213,0.128519,0.125363,-0.185759,0.462234,15.1082,0.128823,-0.186014,0.440933,0.214541,15.05,-0.0119928,-1.08598,0.750026,0.984923,-0.0882447,0.0681732,0.132256
15.06,0.0248603,-1.07139,0.766604,3.46988,1.0128,0.0194014,0.985187,-0.0878123,0.0676902,0.130819,0.126344,-0.185832,0.456197,15.0994,0.129982,-0.186403,0.435226,0.212657,15.06,0.0226727,-1.07594,0.750092,0.984745,-0.0873459,0.0675159,0.134497
15.07,0.0596382,-1.06112,0.767009,3.48565,1.0401,0.0616047,0.985006,-0.086912,0.0670561,0.133089,0.127375,-0.185994,0.450253,15.0881,0.131196,-0.186886,0.429604,0.212587,15.07,0.0574967,-1.06562,0.75059,0.984565,-0.0864431,0.0668564,0.13671
15.08,0.0945727,-1.05059,0.767836,3.50121,1.06715,0.103772,0.984823,-0.0860078,0.0664186,0.135329,0.128458,-0.186246,0.4444,15.0741,0.132465,-0.187464,0.424063,0.213639,15.08,0.092477,-1.05503,0.75152,0.984383,-0.085536,0.0661943,0.138893
15.09,0.129662,-1.03978,0.769084,3.51655,1.09393,0.145879,0.984639,-0.0850993,0.0657776,0.137539,0.129594,-0.186592,0.438636,15.0577,0.133792,-0.188139,0.418601,0.217504,15.09,0.127611,-1.04417,0.752881,0.9842,-0.0846243,0.0655295,0.141049
15.1,0.164903,-1.02871,0.770753,3.53167,1.12043,0.187902,0.984453,-0.0841862,0.0651325,0.13972,0.130784,-0.18703,0.432958,15.0387,0.135177,-0.188913,0.413216,0.216663,15.1,0.162898,-1.03304,0.754673,0.984015,-0.0837076,0.0648615,0.143177
15.11,0.200294,-1.01737,0.772842,3.54656,1.14666,0.229816,0.984266,-0.0832681,0.0644832,0.141873,0.132029,-0.187564,0.427362,15.0172,0.136622,-0.189787,0.407904,0.215217,15.11,0.198333,-1.02165,0.756893,0.98383,-0.0827856,0.06419,0.145278
15.12,0.235833,-1.00578,0.775349,3.56124,1.17259,0.271598,0.984078,-0.0823446,0.0638291,0.143997,0.133331,-0.188194,0.421847,14.9931,0.138128,-0.190764,0.402664,0.212876,15.12,0.233917,-1.00999,0.759542,0.983643,-0.081858,0.0635148,0.147352
15.13,0.271518,-0.993923,0.778273,3.57569,1.19823,0.313223,0.983889,-0.0814153,0.0631701,0.146093,0.134691,-0.188922,0.41641,14.9665,0.139698,-0.191844,0.397491,0.214697,15.13,0.269645,-0.998081,0.762617,0.983455,-0.0809244,0.0628354,0.149399
15.14,0.307346,-0.981814,0.781612,3.58992,1.22357,0.354668,0.983699,-0.0804798,0.0625057,0.148161,0.13611,-0.189751,0.411048,14.9375,0.141331,-0.193031,0.392385,0.217348,15.14,0.305516,-0.985913,0.766117,0.983266,-0.0799846,0.0621516,0.15142
15.15,0.343316,-0.969453,0.785365,3.60392,1.2486,0.395908,0.983509,-0.0795377,0.0618355,0.150202,0.13759,-0.19068,0.405758,14.9059,0.14303,-0.194326,0.387341,0.213623,15.15,0.341527,-0.973493,0.770039,0.983076,-0.0790381,0.061463,0.153416
15.16,0.379424,-0.956843,0.789529,3.6177,1.27331,0.436921,0.983318,-0.0785887,0.0611592,0.152217,0.139132,-0.191714,0.400538,14.8719,0.144797,-0.195732,0.382357,0.212737,15.16,0.377676,-0.960823,0.774382,0.982886,-0.0780845,0.0607692,0.155387
15.17,0.415669,-0.943987,0.794102,3.63125,1.29771,0.477682,0.983126,-0.0776322,0.0604763,0.154205,0.140738,-0.192853,0.395385,14.8354,0.146633,-0.19725,0.377431,0.213635,15.17,0.413962,-0.947907,0.779143,0.982695,-0.0771236,0.0600699,0.157332
15.18,0.452048,-0.93089,0.799081,3.64457,1.32178,0.518168,0.982934,-0.0766679,0.0597866,0.156167,0.142408,-0.194099,0.390296,14.7965,0.148539,-0.198884,0.372559,0.212688,15.18,0.450381,-0.934749,0.784319,0.982504,-0.0761549,0.0593647,0.159253
15.19,0.488559,-0.917553,0.804464,3.65766,1.34551,0.558356,0.982742,-0.0756953,0.0590895,0.158104,0.144146,-0.195455,0.385269,14.7552,0.150517,-0.200635,0.367738,0.214195,15.19,0.486931,-0.921352,0.789907,0.982313,-0.075178,0.0586533,0.16115
15.2,0.5252,-0.903981,0.810247,3.67052,1.36891,0.598222,0.98255,-0.074714,0.0583847,0.160015,0.145952,-0.196923,0.3803,14.7116,0.152569,-0.202507,0.362967,0.214128,15.2,0.523609,-0.907718,0.795905,0.982121,-0.0741925,0.0579351,0.163024
15.21,0.561969,-0.890176,0.816426,3.68315,1.39196,0.637745,0.982358,-0.0737234,0.0576716,0.161901,0.147827,-0.198506,0.375387,14.6655,0.154697,-0.204502,0.358241,0.21327,15.21,0.560415,-0.893852,0.802307,0.98193,-0.0731981,0.05721,0.164873
15.22,0.598863,-0.876143,0.822999,3.69554,1.41466,0.676902,0.982166,-0.0727231,0.05695,0.163763,0.149775,-0.200205,0.370527,14.6171,0.156903,-0.206622,0.353557,0.213911,15.22,0.597344,-0.879758,0.809112,0.981738,-0.0721942,0.0564773,0.1667
15.23,0.635879,-0.861884,0.829962,3.7077,1.437,0.715669,0.981974,-0.0717127,0.0562193,0.1656,0.151795,-0.202024,0.365717,14.5665,0.159188,-0.208872,0.348914,0.213969,15.23,0.634395,-0.865438,0.816315,0.981546,-0.0711805,0.0557368,0.168503
15.24,0.673016,-0.847404,0.837311,3.71963,1.45898,0.754025,0.981783,-0.0706916,0.0554791,0.167412,0.15389,-0.203965,0.360954,14.5135,0.161553,-0.211253,0.344306,0.21509,15.24,0.671566,-0.850896,0.823911,0.981355,-0.0701566,0.054988,0.170284
15.25,0.710271,-0.832706,0.845041,3.73132,1.48059,0.791948,0.981592,-0.0696593,0.0547288,0.169201,0.156062,-0.206031,0.356236,14.4583,0.164002,-0.21377,0.339732,0.213746,15.25,0.708854,-0.836137,0.831897,0.981164,-0.0691219,0.0542304,0.172043
15.26,0.747641,-0.817794,0.853147,3.74277,1.50182,0.829416,0.981402,-0.0686152,0.0539681,0.170966,0.158313,-0.208224,0.351558,14.4009,0.166536,-0.216424,0.335188,0.212249,15.26,0.746256,-0.821164,0.840267,0.980973,-0.068076,0.0534636,0.17378
15.27,0.785125,-0.802671,0.861626,3.75398,1.52267,0.866407,0.981213,-0.0675589,0.0531963,0.172708,0.160644,-0.210548,0.346918,14.3412,0.169157,-0.219219,0.33067,0.213925,15.27,0.78377,-0.805981,0.849018,0.980782,-0.0670184,0.0526872,0.175495
15.28,0.82272,-0.787342,0.870473,3.76496,1.54314,0.902902,0.981024,-0.0664898,0.052413,0.174426,0.163057,-0.213006,0.342313,14.2795,0.171866,-0.222159,0.326175,0.213586,15.28,0.821395,-0.790591,0.858144,0.980592,-0.0659488,0.0519007,0.177188
15.29,0.860423,-0.77181,0.879682,3.77569,1.56322,0.938878,0.980836,-0.0654073,0.0516177,0.176121,0.165554,-0.2156,0.337739,14.2156,0.174666,-0.225247,0.3217,0.215673,15.29,0.859126,-0.774999,0.867639,0.980403,-0.0648665,0.0511035,0.17886
15.3,0.898233,-0.756079,0.889248,3.78619,1.58289,0.974315,0.980649,-0.0643109,0.0508099,0.177793,0.168136,-0.218335,0.333193,14.1496,0.177559,-0.228486,0.317241,0.214257,15.3,0.896963,-0.759208,0.877498,0.980214,-0.063771,0.0502953,0.18051
15.31,0.936146,-0.740153,0.899165,3.79644,1.60217,1.00919,0.980463,-0.0631999,0.0499888,0.179442,0.170807,-0.221212,0.328672,14.0816,0.180547,-0.23188,0.312793,0.215759,15.31,0.934903,-0.743223,0.887716,0.980026,-0.0626619,0.0494754,0.18214
15.32,0.974161,-0.724037,0.909428,3.80644,1.62104,1.04349,0.980278,-0.0620738,0.0491541,0.181068,0.173568,-0.224236,0.324171,14.0116,0.183631,-0.235432,0.308354,0.213585,15.32,0.972942,-0.727048,0.898287,0.979838,-0.0615386,0.0486435,0.183749
15.33,1.01227,-0.707734,0.920032,3.81621,1.63949,1.07719,0.980094,-0.0609319,0.0483051,0.182672,0.17642,-0.227409,0.319688,13.9396,0.186814,-0.239146,0.303918,0.213831,15.33,1.01108,-0.710687,0.909204,0.979651,-0.0604005,0.0477988,0.185338
15.34,1.05048,-0.691249,0.930969,3.82572,1.65753,1.11028,0.979912,-0.0597737,0.0474412,0.184254,0.179366,-0.230736,0.315218,13.8658,0.190097,-0.243024,0.299483,0.215314,15.34,1.04931,-0.694143,0.920462,0.979465,-0.0592472,0.046941,0.186906
15.35,1.08879,-0.674585,0.942234,3.83499,1.67514,1.14272,0.97973,-0.0585984,0.0465618,0.185813,0.182408,-0.234219,0.310758,13.79,0.193482,-0.247072,0.295043,0.213372,15.35,1.08764,-0.677422,0.932053,0.97928,-0.058078,0.0460694,0.188454
15.36,1.12718,-0.657748,0.95382,3.84402,1.69233,1.17451,0.979551,-0.0574053,0.0456663,0.18735,0.185547,-0.237862,0.306304,13.7124,0.196972,-0.251291,0.290595,0.214854,15.36,1.12605,-0.660528,0.943971,0.979096,-0.0568924,0.0451835,0.189981
15.37,1.16567,-0.64074,0.965721,3.85279,1.70908,1.20563,0.979372,-0.056194,0.0447541,0.188864,0.188785,-0.241668,0.301851,13.633,0.200567,-0.255685,0.286133,0.214088,15.37,1.16456,-0.643465,0.95621,0.978913,-0.0556897,0.0442826,0.191488
15.38,1.20424,-0.623568,0.977929,3.86132,1.72539,1.23606,0.979195,-0.0549635,0.0438244,0.190356,0.192124,-0.245641,0.297396,13.5519,0.20427,-0.260259,0.281653,0.214426,15.38,1.20315,-0.626236,0.968762,0.97873,-0.0544694,0.0433662,0.192976
15.39,1.24289,-0.606234,0.990438,3.8696,1.74127,1.26577,0.97902,-0.0537133,0.0428766,0.191826,0.195567,-0.249784,0.292934,13.469,0.208083,-0.265013,0.27715,0.214112,15.39,1.24182,-0.608848,0.98162,0.978549,-0.0532309,0.0424337,0.194443
15.4,1.28163,-0.588744,1.00324,3.87762,1.75669,1.29477,0.978846,-0.0524426,0.04191,0.193273,0.199115,-0.254101,0.28846,13.3846,0.212006,-0.269953,0.272619,0.214602,15.4,1.28057,-0.591303,0.994776,0.978368,-0.0519734,0.0414844,0.195891
15.41,1.32044,-0.571102,1.01633,3.88539,1.77167,1.32302,0.978673,-0.0511508,0.040924,0.194698,0.202769,-0.258594,0.28397,13.2985,0.216042,-0.275081,0.268055,0.212874,15.41,1.3194,-0.573608,1.00822,0.978189,-0.0506964,0.0405177,0.197318
15.42,1.35934,-0.553312,1.0297,3.89291,1.78618,1.35051,0.978503,-0.0498369,0.0399178,0.1961,0.206531,-0.263267,0.279459,13.2109,0.220191,-0.280399,0.263452,0.212939,15.42,1.35831,-0.555765,1.02195,0.978011,-0.0493992,0.0395329,0.198726
15.43,1.3983,-0.53538,1.04334,3.90018,1.80024,1.37723,0.978334,-0.0485004,0.0388907,0.19748,0.210403,-0.268123,0.274922,13.1218,0.224456,-0.28591,0.258805,0.212878,15.43,1.39729,-0.53778,1.03596,0.977833,-0.0480811,0.0385293,0.200114
15.44,1.43734,-0.517309,1.05724,3.90719,1.81383,1.40316,0.978167,-0.0471404,0.0378419,0.198837,0.214386,-0.273164,0.270354,13.0312,0.228837,-0.291617,0.254108,0.213961,15.44,1.43634,-0.519658,1.05023,0.977657,-0.0467415,0.0375063,0.201482
15.45,1.47644,-0.499105,1.0714,3.91395,1.82696,1.42828,0.978001,-0.0457562,0.0367707,0.200171,0.218482,-0.278394,0.265749,12.9393,0.233334,-0.297521,0.249355,0.215033,15.45,1.47546,-0.501402,1.06477,0.977482,-0.0453796,0.0364631,0.202829
15.46,1.51562,-0.480772,1.0858,3.92045,1.83961,1.45259,0.977837,-0.0443469,0.0356764,0.201481,0.222691,-0.283815,0.261103,12.846,0.23795,-0.303624,0.24454,0.212395,15.46,1.51464,-0.483018,1.07955,0.977308,-0.0439946,0.035399,0.204157
15.47,1.55485,-0.462315,1.10044,3.9267,1.85179,1.47607,0.977675,-0.0429118,0.0345582,0.202769,0.227016,-0.28943,0.256408,12.7514,0.242684,-0.309929,0.239657,0.212192,15.47,1.55389,-0.464511,1.09457,0.977135,-0.042586,0.0343133,0.205465
15.48,1.59415,-0.443738,1.11532,3.93268,1.86348,1.4987,0.977515,-0.04145,0.0334153,0.204033,0.231457,-0.29524,0.25166,12.6556,0.247538,-0.316436,0.234699,0.212707,15.48,1.59319,-0.445884,1.10983,0.976963,-0.0411528,0.0332052,0.206752
15.49,1.63351,-0.425047,1.13041,3.93841,1.87469,1.52047,0.977357,-0.0399608,0.032247,0.205272,0.236015,-0.301248,0.246853,12.5587,0.252511,-0.323146,0.229658,0.215388,15.49,1.63256,-0.427144,1.12532,0.976793,-0.0396944,0.032074,0.208018
15.5,1.67292,-0.406246,1.14572,3.94388,1.88542,1.54136,0.9772,-0.0384434,0.0310523,0.206488,0.240691,-0.307455,0.241979,12.4606,0.257603,-0.330059,0.224529,0.212163,15.5,1.67198,-0.408294,1.14102,0.976623,-0.03821,0.0309188,0.209264
15.51,1.71238,-0.38734,1.16124,3.94909,1.89565,1.56138,0.977046,-0.0368968,0.0298306,0.207679,0.245484,-0.313862,0.237033,12.3615,0.262815,-0.337176,0.219304,0.212929,15.51,1.71145,-0.389339,1.15692,0.976454,-0.0366988,0.0297389,0.210489
15.52,1.7519,-0.368335,1.17694,3.95404,1.90539,1.5805,0.976893,-0.0353203,0.028581,0.208845,0.250396,-0.32047,0.232008,12.2614,0.268145,-0.344496,0.213975,0.212663,15.52,1.75098,-0.370285,1.17303,0.976287,-0.03516,0.0285334,0.211693
15.53,1.79146,-0.349234,1.19284,3.95872,1.91463,1.59871,0.976742,-0.033713,0.0273028,0.209986,0.255427,-0.32728,0.226897,12.1603,0.273594,-0.352018,0.208534,0.212413,15.53,1.79055,-0.351136,1.18932,0.97612,-0.0335928,0.0273015,0.212875
15.54,1.83107,-0.330044,1.20891,3.96315,1.92337,1.61601,0.976592,-0.032074,0.0259952,0.2111,0.260576,-0.334292,0.221692,12.0584,0.279161,-0.359741,0.202975,0.215899,15.54,1.83017,-0.331898,1.20579,0.975954,-0.0319964,0.0260424,0.214035
15.55,1.87072,-0.310769,1.22516,3.96731,1.93161,1.63238,0.976444,-0.0304026,0.0246572,0.212188,0.265844,-0.341505,0.216387,11.9557,0.284843,-0.367663,0.197287,0.212239,15.55,1.86983,-0.312574,1.22243,0.97579,-0.0303698,0.0247552,0.215173
15.56,1.91042,-0.291413,1.24156,3.97121,1.93934,1.64782,0.976298,-0.028698,0.0232883,0.21325,0.271229,-0.348919,0.210973,11.8522,0.29064,-0.37578,0.191464,0.212344,15.56,1.90953,-0.29317,1.23923,0.975626,-0.0287124,0.0234391,0.216288
15.57,1.95015,-0.271984,1.25811,3.97485,1.94657,1.6623,0.976154,-0.0269591,0.0218875,0.214283,0.276731,-0.356532,0.205444,11.7481,0.29655,-0.38409,0.185496,0.211977,15.57,1.94927,-0.273691,1.25618,0.975463,-0.0270231,0.0220931,0.217381
15.58,1.98991,-0.252484,1.2748,3.97822,1.95328,1.67584,0.976011,-0.0251853,0.0204541,0.215289,0.282348,-0.364343,0.19979,11.6433,0.30257,-0.392588,0.179375,0.21308,15.58,1.98904,-0.254142,1.27327,0.9753,-0.0253012,0.0207165,0.218449
15.59,2.02971,-0.23292,1.29162,3.98132,1.95948,1.68841,0.97587,-0.0233757,0.0189874,0.216265,0.28808,-0.372349,0.194004,11.538,0.308698,-0.40127,0.173091,0.214977,15.59,2.02885,-0.234528,1.29049,0.975139,-0.0235458,0.0193082,0.219494
15.6,2.06954,-0.213296,1.30856,3.98417,1.96516,1.70001,0.97573,-0.0215295,0.0174866,0.217212,0.293924,-0.380546,0.188076,11.4321,0.314932,-0.410131,0.166635,0.211891,15.6,2.06868,-0.214854,1.30783,0.974977,-0.021756,0.0178675,0.220514
15.61,2.10939,-0.193618,1.32561,3.98674,1.97033,1.71063,0.975592,-0.0196458,0.0159509,0.218129,0.299878,-0.388932,0.181999,11.3259,0.321267,-0.419164,0.159998,0.212395,15.61,2.10855,-0.195125,1.32529,0.974817,-0.0199309,0.0163933,0.221509
15.62,2.14927,-0.173891,1.34277,3.98905,1.97498,1.72027,0.975455,-0.017724,0.0143797,0.219014,0.30594,-0.397501,0.175763,11.2193,0.3277,-0.428362,0.153169,0.212404,15.62,2.14844,-0.175346,1.34284,0.974657,-0.0180696,0.0148849,0.222478
15.63,2.18917,-0.154121,1.36002,3.9911,1.97911,1.72893,0.975319,-0.0157631,0.0127723,0.219868,0.312108,-0.406248,0.169359,11.1124,0.334226,-0.437716,0.146139,0.21322,15.63,2.18835,-0.155522,1.36048,0.974497,-0.0161712,0.0133412,0.22342
15.64,2.22909,-0.134311,1.37734,3.99288,1.98271,1.73658,0.975184,-0.0137625,0.011128,0.220688,0.318377,-0.415167,0.162778,11.0053,0.340842,-0.447219,0.138897,0.214762,15.64,2.22828,-0.135659,1.37821,0.974337,-0.0142349,0.0117614,0.224334
15.65,2.26903,-0.114468,1.39474,3.99439,1.98579,1.74324,0.97505,-0.0117214,0.00944625,0.221475,0.324744,-0.424252,0.156009,10.898,0.347542,-0.45686,0.131434,0.213385,15.65,2.26823,-0.11576,1.396,0.974178,-0.0122597,0.0101447,0.225221
15.66,2.30898,-0.094597,1.4122,3.99564,1.98835,1.74889,0.974917,-0.00963908,0.00772642,0.222226,0.331206,-0.433494,0.149044,10.7906,0.354321,-0.466628,0.123739,0.212611,15.66,2.30819,-0.0958324,1.41386,0.974018,-0.0102447,0.00849002,0.226078
15.67,2.34894,-0.0747029,1.42971,3.99662,1.99038,1.75353,0.974785,-0.00751488,0.00596799,0.222941,0.337758,-0.442886,0.141871,10.6832,0.361171,-0.476512,0.1158,0.213523,15.67,2.34817,-0.0758799,1.43176,0.973859,-0.00818906,0.00679659,0.226905
15.68,2.38891,-0.0547911,1.44727,3.99733,1.99189,1.75716,0.974653,-0.00534813,0.00417045,0.22362,0.344394,-0.452417,0.134482,10.5759,0.368088,-0.486499,0.107608,0.21423,15.68,2.38816,-0.0559079,1.4497,0.973699,-0.00609192,0.00506354,0.227701
15.69,2.42889,-0.0348668,1.46485,3.99778,1.99287,1.75978,0.974522,-0.00313822,0.00233336,0.224259,0.35111,-0.462077,0.126865,10.4687,0.375063,-0.496574,0.0991511,0.216378,15.69,2.42815,-0.0359216,1.46768,0.973539,-0.00395241,0.00329002,0.228465
15.7,2.46887,-0.0149354,1.48246,3.99796,1.99333,1.76138,0.974391,-0.000884553,0.000456339,0.224859,0.357899,-0.471855,0.11901,10.3616,0.382088,-0.506724,0.0904185,0.21699,15.7,2.46815,-0.0159261,1.48567,0.973378,-0.00176966,0.00147522,0.229196
15.71,2.50885,0.00499793,1.50008,3.99788,1.99325,1.76196,0.97426,0.00141341,-0.00146096,0.225419,0.364755,-0.481738,0.110906,10.2549,0.389156,-0.51693,0.0813993,0.211727,15.71,2.50815,0.00407346,1.50367,0.973216,0.000457155,-0.000381642,0.229892
15.72,2.54882,0.0249279,1.51769,3.99753,1.99265,1.76152,0.974129,0.00375616,-0.0034188,0.225936,0.371671,-0.491713,0.102543,10.1484,0.396258,-0.527177,0.0720822,0.214108,15.72,2.54815,0.024072,1.52166,0.973053,0.00272884,-0.00228133,0.230552
15.73,2.5888,0.0448493,1.5353,3.99691,1.99153,1.76007,0.973998,0.00614416,-0.00541739,0.226409,0.37864,-0.501765,0.0939091,10.0424,0.403384,-0.537446,0.0624563,0.214074,15.73,2.58814,0.0440643,1.53965,0.97289,0.00504619,-0.00422454,0.231176
15.74,2.62876,0.0647568,1.55289,3.99603,1.98988,1.75759,0.973866,0.0085778,-0.00745685,0.226837,0.385653,-0.511878,0.0849942,9.93686,0.410524,-0.547717,0.0525104,0.214152,15.74,2.62813,0.0640454,1.55761,0.972725,0.00740996,-0.00621195,0.23176
